PlayerID,LogDiff,ParamDiff,stdLogDiff,ELDLogLikelihood,MIDPlus,ELDPrior,STDELDLogLikelihood,SpecificLogNbN,GenericLogNbN,MID,PriorD,specificLog,genericLog,Standing.score+20,standing
1,59.67285951815153,0.0000,0.07960854019773633,140.33851558283754,248.17537844808479,3.9811461238484633,0.18171163307698934,0.07416099131009297,0.05851753194277224,90.65097191459255,157.52440653349223,-0.5286191154859567,-0.6082276556836931,42,2
11,22.567043580506976,0.0000,0.0352833039666477,89.15662293057693,124.88234966679623,1.879876575187633,0.11185806308333811,0.028025873823973712,0.040283329931921075,45.548775145882054,79.33357452091418,-0.5470612572604104,-0.5823445612270581,24,7
110,52.758048609683385,0.0000,0.06940600442651071,129.40384286328367,201.71759353185954,3.0163625478744507,0.16203125112837083,0.06575600147541417,0.08106874442218166,62.45375429956537,139.26383923229417,-0.5187975633889437,-0.5882035678154544,17,13
111,23.78650833431043,0.0000,0.05259724255455168,88.57745105341861,116.71012491007384,1.862624053120319,0.15039536141251264,0.05974945514707972,0.0646494014776851,47.333962967521266,69.37616194255259,-0.5976802787106288,-0.6502775212651805,13,16
14,21.421113917702122,0.0000,0.03197495913819263,73.21388206983868,103.92591950924773,1.6195502656904097,0.10458077068783735,0.04541769764435134,0.03598878910078815,40.75176925408213,63.1741502551656,-0.5612598667411428,-0.5932348258793354,20,8
3,57.59417694493344,0.0000,0.12721632715118558,128.7796698118511,204.11990619176314,3.3064413431443667,0.21366251931574784,0.06395665254737985,0.07386952769011258,68.54143968381379,135.57846650794932,-0.4967926189695534,-0.624008946120739,34,3
30,57.17732529891165,0.0000,0.07740080238957155,143.86996259187399,202.75387627827493,2.6385627671291956,0.1803948431471853,0.0646469916217029,0.07644502060781967,78.9329010310926,123.82097524718235,-0.5530791515974622,-0.6304799539870337,7,18
35,37.05225171540913,0.0000,0.047755547848186995,92.5263722319352,125.78869395820718,2.0101264691666554,0.11561833704380613,0.04410831517000732,0.0494032034846513,47.25038628829153,78.53830766991565,-0.5173696508925212,-0.5651251987407082,18,9
39,31.549985057429264,0.0000,0.04768469047389532,113.21608615548988,178.82571317647634,2.4008621732263187,0.1366065156302954,0.05615162414645678,0.04848713232694489,64.94508572628624,113.88062745019009,-0.5523171577798692,-0.6000018482537646,4,19
4,28.535290065564606,0.0000,0.04986916090312757,114.050436873185,153.26769618611587,2.0132014339691713,0.1500771353021264,0.06601810378365612,0.05354070891871265,63.2476285382321,90.02006764788376,-0.5536930670863703,-0.603562227989498,27,5
43,55.10868172896536,0.0000,0.0719949573670563,137.07427853032164,250.35489847785547,3.360911013264405,0.1798093581670209,0.06942650501763349,0.06268042434791202,95.14148365823846,155.21341481961701,-0.5310383668463481,-0.6030333242134044,45,1
45,31.90160746323435,0.0000,0.04288192995284733,108.90404528065731,164.6898663985102,2.273534775956681,0.13421466799550935,0.04777825220340961,0.049605015498635024,59.82352373474523,104.86634266376495,-0.5620677924077762,-0.6049497223606235,17,12
5,42.023718884116725,0.0000,0.052553557447696984,121.89951658876319,202.25458794518522,2.867596084350034,0.15498329032408564,0.05303061481467204,0.04684800394859753,78.13141413738853,124.12317380779668,-0.5685514105777991,-0.6211049680254961,1,20
52,32.45915739159835,0.0000,0.045909992174098364,108.75985975014537,165.68737689131186,2.493057721931683,0.15524971874822913,0.03813161091682942,0.027778901855804426,66.64215858359086,99.04521830772099,-0.5653764389847454,-0.6112864311588438,8,17
54,34.1252172369706,0.0000,0.05834834846226793,102.79729396418522,152.2925927764491,2.6113995776364676,0.13959740362081088,0.05391185430221651,0.04491087050226174,66.69290990578502,85.5996828706641,-0.5204165209280817,-0.5787648693903497,16,14
56,45.626626667223476,0.0000,0.05361177242900196,108.48274155666954,160.49535682326868,2.574002451802555,0.13096039658902506,0.04831830023444798,0.05329033335376727,56.64740534832603,103.84795147494266,-0.5371918448884236,-0.5908036173174256,17,11
6,39.47130900935123,0.0000,0.05840049056630386,118.71147064158791,178.2233869935337,3.322337852104714,0.1563206154632529,0.06690088622762182,0.055817065456588016,60.01255055477745,118.21083643875625,-0.5327473104392227,-0.5911478010055266,31,4
7,40.30762220683851,0.0000,0.04678188519258248,110.0820171205621,180.17641344195917,2.375771288809023,0.13851474914209624,0.05636060668743755,0.050718343483382146,62.2860342828851,117.89037915907409,-0.568964767612909,-0.6157466528054915,15,15
8,43.31114455273277,0.0000,0.060605627533636595,112.74721587331672,173.632422679349,2.2421402895921156,0.15233426420998417,0.04892878103511114,0.03609246757665747,64.5682648608559,109.06415781849309,-0.5391712755356964,-0.5997769030693331,26,6
80,49.16380099246376,0.0000,0.09963223004811689,121.00761654502467,162.8161979647059,2.486344244723257,0.20333086272799655,0.04339863818236873,0.05325597531505322,55.2363408992165,107.57985706548942,-0.5388827174901962,-0.6385149475383131,18,10
