ManPower,GoalDifferential,HomeShots,AwayShots,HomeShotPercent
EV,-8,28,16,0.6364
EV,-7,141,106,0.5709
EV,-6,457,291,0.6110
EV,-5,1515,1003,0.6017
EV,-4,4571,3125,0.5939
EV,-3,13120,8934,0.5949
EV,-2,33333,23661,0.5849
EV,-1,76269,59135,0.5633
EV,0,164323,152932,0.5180
EV,1,73973,83736,0.4690
EV,2,32760,40495,0.4472
EV,3,14001,17644,0.4424
EV,4,5409,6803,0.4429
EV,5,1669,2282,0.4224
EV,6,538,731,0.4240
EV,7,141,235,0.3750
EV,8,42,50,0.4565
EV,9,10,8,0.5556
N/A,0,0,1,0.0000
PP,-8,22,1,0.9565
PP,-7,27,34,0.4426
PP,-6,111,100,0.5261
PP,-5,396,282,0.5841
PP,-4,1313,820,0.6156
PP,-3,3285,2324,0.5857
PP,-2,8060,4993,0.6175
PP,-1,17507,12085,0.5916
PP,0,33213,28718,0.5363
PP,1,16837,17826,0.4857
PP,2,8093,9076,0.4714
PP,3,3689,4259,0.4641
PP,4,1570,1794,0.4667
PP,5,516,610,0.4583
PP,6,191,190,0.5013
PP,7,47,43,0.5222
PP,8,22,9,0.7097
PP,9,0,1,0.0000
SH,-8,0,1,0.0000
SH,-7,3,3,0.5000
SH,-6,18,17,0.5143
SH,-5,61,52,0.5398
SH,-4,177,118,0.6000
SH,-3,504,307,0.6215
SH,-2,976,901,0.5200
SH,-1,2152,1874,0.5345
SH,0,4069,4111,0.4974
SH,1,2247,2526,0.4708
SH,2,1254,1348,0.4819
SH,3,542,633,0.4613
SH,4,223,271,0.4514
SH,5,77,85,0.4753
SH,6,22,32,0.4074
SH,7,4,5,0.4444
SH,8,1,2,0.3333
SH,9,0,1,0.0000
